wte|21|0.61606379 0.27345652 -0.09413685 -0.26408949 -0.65366656 -0.39640722 -0.17835316 -0.80527938 0.02774238 0.24343042 0.05603129 0.84863847 0.64070513 -0.08860017 0.32303016 -0.20792406 -0.64876193 0.62437361 0.38719364 -0.31542105 -0.28288142 -0.46682564 0.53441523 -0.53158304 0.10274182 -0.80540404 -0.65430810 0.30954040 -0.08489551 -0.39795812 -0.19145842 -0.34141130
wte|22|0.90276527 0.86486213 -0.12323416 -0.01811968 -0.14832235 -0.26364162 -0.43484078 -0.74442545 -0.09788651 -0.28977547 0.16035273 0.29278719 0.54091984 -0.34788863 0.26391489 -0.15726582 -0.83607352 0.92245924 0.62454691 0.20360796 0.25709523 -0.18893076 0.48589921 -0.24719098 0.70866805 -0.55406876 -0.47670579 0.28259771 -0.37266993 -0.26546131 -0.24120506 -0.20520179
wte|23|0.94047856 0.82266366 -0.15415983 -0.02856553 0.11191318 -0.17394522 0.19722650 -0.27663673 0.12372121 -0.52166035 -0.11512214 0.49019658 0.13139940 -0.26145958 -0.15433058 0.02798679 -0.74939059 0.63807437 0.81397069 0.12109191 -0.38111067 -0.01856405 0.46283077 0.46159743 1.07040666 -0.89039249 -0.01704978 0.12591863 -0.50575390 -0.12177964 -0.26598709 0.32435705
wte|24|0.55358695 0.07298670 -0.28969840 -0.13529038 -0.24659383 0.67594345 0.12327345 -0.23897174 0.47316478 -0.80366303 -0.35743064 0.84102941 0.06775606 -0.34432513 -0.50236105 0.14140152 -0.82638913 0.30477119 0.53522113 -0.24964701 -0.83238182 0.02130789 -0.36471693 0.53481405 0.95056097 -0.93879236 0.13397392 0.23276930 -0.10009354 0.20482981 0.17003264 0.04761418
wte|25|-0.10069221 -0.38984299 -0.62669505 -0.90729022 0.01851062 0.37092682 -0.41538297 0.30343804 -0.51481689 0.72376948 -0.69157816 -0.34985150 -0.01982390 -0.35210255 -0.43095663 0.21972658 0.49954354 -0.40290311 -0.27749196 -0.67720610 -0.02532377 -0.87274891 0.13487181 -0.77605179 0.27921091 0.08710412 0.50788970 0.02390038 0.14217199 0.01177791 0.27504472 -1.06300642
wte|26|0.30698624 -0.34252208 -0.55852544 -0.02180119 0.38909594 0.11233275 -0.35068971 -0.06063919 -0.30020726 0.68351104 -0.57525639 -1.09350703 0.41512677 0.03975178 -0.34196316 0.40048308 0.16048534 -0.22524350 -0.00271369 -0.31354845 0.31642108 -0.91679865 1.00705996 -0.29993069 0.23229034 0.30355814 -0.00803747 0.45376935 -0.05222957 0.01198579 -0.45265432 -0.62083446
wte|27|0.31592792 0.31190215 0.05216886 0.06981843 0.71747742 -0.16429766 -0.69226037 0.11665079 -0.31190728 0.46992510 -0.50332229 -0.93667933 0.55878297 0.53143511 -0.41126933 0.34926276 0.47375552 0.32519826 0.12989210 -0.44718177 0.62309490 -0.98897130 0.36115413 -0.09472264 -0.04808502 0.68455150 -0.21416455 0.18691157 -0.02052784 -0.32972846 -0.62565574 -0.10279976
wte|28|-0.14071508 0.19066058 0.19752125 0.18098586 0.84827623 -0.02029274 -0.08183397 0.35488922 -0.45938963 0.10188287 -0.41979297 -0.58152440 0.70301589 0.05018675 -0.59821745 0.25666815 0.77738817 0.57300404 -0.06881847 -0.93495956 0.70150191 -0.35207521 -0.18218733 -0.46707350 -0.32809760 0.26841320 0.11835583 0.27098735 0.25523325 -0.31902191 -0.76756774 0.28151122
wte|29|-0.46435149 -0.09812352 0.42367194 0.03376134 0.43177278 0.83585778 0.10522530 -0.05273673 -0.11600318 -0.11621988 -0.25391246 -0.18101407 0.54238480 -0.18004097 -0.56856149 -0.09399949 0.74177121 0.52786064 -0.38731176 -0.91235100 0.29055625 0.34474766 -0.11485668 -0.54733126 -0.62650616 0.23030902 0.84854718 0.06257863 -0.05692931 0.24407135 -0.84792710 0.27493607
wte|30|-0.42172715 -0.25897741 -0.15850331 -0.45248952 0.16112516 1.19014414 0.39824772 -0.32119246 -0.36530164 0.32240737 -0.54854138 0.02183211 0.32727355 -0.24187424 -0.53237607 0.25842353 0.37164947 0.01922184 -0.66722239 -0.54554715 0.37413008 0.52185291 0.52241688 -0.38030945 -0.20330119 -0.15954954 0.97285823 0.02996121 -0.54381950 0.60786397 -0.28566742 0.00267570
